club_id,club_slug,club_name,logo_url,country_name,season_id,competition_id,competition_slug,competition_name,club_division,source_url,_last_modified_at
621,athletic-bilbao,Athletic Bilbao (621),https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038,Spain,2007,ES1,laliga,LaLiga,LaLiga,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2007,2025-09-13 09:15:21
631,fc-chelsea,Chelsea FC (631),https://tmssl.akamaized.net//images/wappen/head/631.png?lm=1682435911,England,2013,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2013,2025-09-13 09:22:44
6574,us-sassuolo,US Sassuolo (6574),https://tmssl.akamaized.net//images/wappen/head/6574.png?lm=1755894334,Italy,2020,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2020,2025-09-13 09:04:09
667,rc-strassburg-alsace,RC Strasbourg Alsace (667),https://tmssl.akamaized.net//images/wappen/head/667.png?lm=1664991833,France,2005,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667/saison_id/2005,2025-09-13 10:24:28
681,real-sociedad-san-sebastian,Real Sociedad (681),https://tmssl.akamaized.net//images/wappen/head/681.png?lm=1614795530,Spain,2021,ES1,laliga,LaLiga,LaLiga,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2021,2025-09-13 09:14:15
703,nottingham-forest,Nottingham Forest (703),https://tmssl.akamaized.net//images/wappen/head/703.png?lm=1598890289,England,2003,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/nottingham-forest/startseite/verein/703/saison_id/2003,2025-09-13 10:28:44
714,espanyol-barcelona,RCD Espanyol Barcelona (714),https://tmssl.akamaized.net//images/wappen/head/714.png?lm=1406966369,Spain,2024,ES1,laliga,LaLiga,LaLiga,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2024,2025-09-13 09:14:08
738,ac-le-havre,Le Havre AC (738),https://tmssl.akamaized.net//images/wappen/head/738.png?lm=1408780648,France,2005,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/ac-le-havre/startseite/verein/738/saison_id/2005,2025-09-13 10:14:56
762,newcastle-united,Newcastle United (762),https://tmssl.akamaized.net//images/wappen/head/762.png?lm=1472921161,England,2023,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2023,2025-09-13 09:22:46
79,vfb-stuttgart,VfB Stuttgart (79),https://tmssl.akamaized.net//images/wappen/head/79.png?lm=1680587427,Germany,2003,L1,bundesliga,Bundesliga,Bundesliga,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2003,2025-09-13 09:41:54
